"","V1"
"1567",0.17446
"1568",0.195418
"1569",0.236051
"1570",0.455611
"1571",0.435861
"1572",0.458758
"1573",0.400665
"1574",0.677482
"1575",0.73851
"1576",0.804103
"1577",0.315358
"1578",0.745526
"1579",0.594115
"1580",0.564087
"1581",0.728569
"1582",0.353189
"1583",0.364253
"1584",0.306545
"1585",0.647516
"1586",0.328691
"1587",0.254384
"1588",0.186694
"1589",0.40458
"1590",0.805785
"1591",0.340349
"1592",0.609808
"1593",0.344802
"1594",0.936447
"1595",0.919027
"1596",0.185806
"1597",0.177663
"1598",0.221259
"1599",0.404171
"1600",0.508969
"1601",0.896307
"1602",0.220527
"1603",0.615501
"1604",0.390998
"1605",0.446292
"1606",0.1292
"1607",0.902374
"1608",0.874936
"1609",0.558947
"1610",0.763522
"1611",0.518473
"1612",0.498044
"1613",0.381515
"1614",0.545829
"1615",0.868882
"1616",0.4794
"1617",0.259847
"1618",0.439804
"1619",0.902294
"1620",0.398725
"1621",0.172996
"1622",0.718119
"1623",0.398505
"1624",0.566007
"1625",0.893791
"1626",0.401881
"1627",0.42883
"1628",0.639628
"1629",0.608118
"1630",0.224648
"1631",0.385839
"1632",0.906327
"1633",0.439804
"1634",0.503719
"1635",0.360259
"1636",0.99384
"1637",0.902294
"1638",0.902058
"1639",0.715329
"1640",0.581189
"1641",0.14555
"1642",0.82093
"1643",0.708621
"1644",0.415817
"1645",0.435597
"1646",0.47693
"1647",0.287813
"1648",0.638944
"1649",0.723003
"1650",0.324579
"1651",0.502221
"1652",0.841501
"1653",0.593856
"1654",0.34003
"1655",0.8051
"1656",0.456166
"1657",0.83951
"1658",0.295466
"1659",0.61444
"1660",0.499399
"1661",0.685086
